"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1078","Archie Goodwin","Archie","Goodwin","archie","goodwin",NA,"2991281/archie-goodwin",2991281,"archie-goodwin",2014,2017
"1079","Dennis Schroder","Dennis","Schroder","dennis","schroder",NA,"3032979/dennis-schroder",3032979,"dennis-schroder",2014,2019
"1080","James Southerland","James","Southerland","james","southerland",NA,"2488749/james-southerland",2488749,"james-southerland",2014,2014
"1081","Jorge Gutierrez","Jorge","Gutierrez","jorge","gutierrez",NA,"2327449/jorge-gutierrez",2327449,"jorge-gutierrez",2014,2016
"1082","Mike Muscala","Mike","Muscala","mike","muscala",NA,"2490089/mike-muscala",2490089,"mike-muscala",2014,2019
"1083","Miroslav Raduljica","Miroslav","Raduljica","miroslav","raduljica",NA,"3047256/miroslav-raduljica",3047256,"miroslav-raduljica",2014,2015
"1084","Shabazz Muhammad","Shabazz","Muhammad","shabazz","muhammad",NA,"2993875/shabazz-muhammad",2993875,"shabazz-muhammad",2014,2018
"1085","Brandon Davies","Brandon","Davies","brandon","davies",NA,"2490144/brandon-davies",2490144,"brandon-davies",2014,2015
"1086","Carrick Felix","Carrick","Felix","carrick","felix",NA,"2531185/carrick-felix",2531185,"carrick-felix",2014,2014
"1087","Dewayne Dedmon","Dewayne","Dedmon","dewayne","dedmon",NA,"2580913/dewayne-dedmon",2580913,"dewayne-dedmon",2014,2019
"1088","Dwight Buycks","Dwight","Buycks","dwight","buycks",NA,"6503/dwight-buycks",6503,"dwight-buycks",2014,2018
"1089","Glen Rice Jr.","Glen","Rice Jr.","glen","rice","jr","2488660/glen-rice-jr.",2488660,"glen-rice-jr.",2014,2015
"1090","Ian Clark","Ian","Clark","ian","clark",NA,"2489785/ian-clark",2489785,"ian-clark",2014,2019
"1091","James Nunnally","James","Nunnally","james","nunnally",NA,"2326411/james-nunnally",2326411,"james-nunnally",2014,2019
"1092","Jeff Withey","Jeff","Withey","jeff","withey",NA,"2333797/jeff-withey",2333797,"jeff-withey",2014,2018
"1093","Justin Hamilton","Justin","Hamilton","justin","hamilton",NA,"6590/justin-hamilton",6590,"justin-hamilton",2014,2017
"1094","Phil Pressey","Phil","Pressey","phil","pressey",NA,"2530722/phil-pressey",2530722,"phil-pressey",2014,2016
"1095","Robbie Hummel","Robbie","Hummel","robbie","hummel",NA,"6633/robbie-hummel",6633,"robbie-hummel",2014,2015
"1096","Shane Larkin","Shane","Larkin","shane","larkin",NA,"2596158/shane-larkin",2596158,"shane-larkin",2014,2018
"1097","Steven Adams","Steven","Adams","steven","adams",NA,"2991235/steven-adams",2991235,"steven-adams",2014,2019
"1098","Toure' Murry","Toure'","Murry","toure","murry",NA,"2327107/toure'-murry",2327107,"toure'-murry",2014,2015
